year,overflow_type,municipality,wet_dry_event,npdes,date_discovered,time_discovered,days,hours,minutes,location,pipe_manhole_id,zip_code,latitude,collection_system,quan_gals_gross,quan_gals_net,cause,health_dept_notified,how_heatlh_depart_was_notified,corrective_action,watershed,receiving_waters,county,comment,penalty_collected,penalty_collected_comments,long,watershed2,quan_gals_gross2,geometry
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,1/31/2018,2:15:00 PM,0,1,30,2801 W. Mulberry St.,Manhole,21223,39.292485,City of Baltimore Dept. of Public Works,180,180,"Rags, roots, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 300 ft. of pressure hose.,Gwynns Falls,Gwynns Falls,Baltimore City,NA,NA,NA,-76.662508,Gwynns Falls,180,"c(1407852.21507824, 592288.752230434)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,1/31/2018,10:50:00 AM,0,4,16,239 N. Culver St.,Pipe,21229,39.289538,City of Baltimore Dept. of Public Works,768,768,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 12 inch mainline choke with 250 ft. of pressure hose. Performd mainline CCTV inspection to identify pipe defect.,Gwynns Falls,Gwynns Falls,Baltimore City,NA,NA,NA,-76.673135,Gwynns Falls,768,"c(1404848.35825807, 591204.420631262)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,1/31/2018,10:14:00 AM,4,6,46,236 S. Mt. Olivet Ln.,Pipe,21223,39.283175,City of Baltimore Dept. of Public Works,9452,9452,Pipe break.,,NA,Set up bypass pumpng to abate overflow.  Exploring options for possible pipe linng.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.66827,Gwynns Falls,"9,452","c(1406233.75113105, 588891.79285273)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,2/1/2018,9:28:00 AM,0,5,4,1214 Seminole Ave.,Manhole,21229,39.299752,City of Baltimore Dept. of Public Works,608,608,"Rags, roots, grease.",,NA,Relieved 8 inch mainline choke with 200 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.690632,Gwynns Falls,608,"c(1399883.46444606, 594907.419715246)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,2/1/2018,10:30:00 AM,0,2,30,1500 N. Franklintown Rd.,Manhole,21229,39.300283,City of Baltimore Dept. of Public Works,750,750,"Rags, roots, grease.",,NA,Relieved 8 inch mainline choke with 10 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.671743,Gwynns Falls,750,"c(1405228.27176693, 595119.495114753)"
2018,SSO,City of Baltimore Dept. of Public Works,Dry,NA,2/1/2018,3:50:00 PM,0,2,6,2700 Gwynns Falls Pkwy.,Manhole,21216,39.315184,City of Baltimore Dept. of Public Works,126,126,"Rags, trash/debris, sand, gravel, rocks.",,NA,Flushed and cleaned 4 inch mainline with 100 ft. of pressure hose.  Performed mainline CCTV inspection.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.663903,Gwynns Falls,126,"c(1407426.95680285, 600554.991965427)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/4/2018,6:05:00 PM,0,4,25,428 E. Preston St.,Manhole,21202,39.30514,City of Baltimore Dept. of Public Works,2311000,2311000,Rain.,,NA,SSO structure; not applicable.  SSO structure will be closed upon completion of necessary capital project.,Jones Falls,Jones Falls,Baltimore City,NA,NA,NA,-76.60977,Jones Falls,"2,311,000","c(1422758.63173346, 596957.580457876)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/4/2018,6:25:00 PM,0,2,10,1901 Falls Rd.,Manhole,21211,39.311744,City of Baltimore Dept. of Public Works,161000,161000,Rain.,,NA,SSO structure; not applicable.  SSO structure will be closed upon completion of necessary capital project.,Jones Falls,Jones Falls,Baltimore City,NA,NA,NA,-76.620287,Jones Falls,"161,000","c(1419772.59680786, 599350.415488794)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/5/2018,1:45:00 PM,58,19,11,200 Font Hill Ave.,Pipe,21223,39.2844,City of Baltimore Dept. of Public Works,845,845,Pipe break.,,NA,Contractor performed repair on specific smaller leaks.  Extensive research done on these assets to determine future improvements.,Gwynns Falls,,Baltimore City,NA,NA,NA,-76.66312,Gwynns Falls,845,"c(1407689.87136863, 589343.312513623)"
2018,SSO,City of Baltimore Dept. of Public Works,Wet,NA,2/6/2018,1:37:00 PM,0,1,24,4501 N. Charles St.,Manhole,21212,39.346194,City of Baltimore Dept. of Public Works,840,840,"Rags, grease, trash/debris, sand, gravel, rocks.",,NA,Relieved 8 inch mainline choke with 200 ft. of pressure hose. Performed mainline CCTV inspection.,Jones Falls,Jones Falls,Baltimore City,NA,NA,NA,-76.62138,Jones Falls,840,"c(1419411.29309265, 611896.988412676)"
